State,Rank,Make/Model,Model Year,Thefts
Alaska,9,Ford Pickup (Small Size),2000,22
Illinois,8,Toyota Camry,2014,383
Maine,7,Chevrolet Impala,2000,8
Oregon,6,Chevrolet Pickup (Full Size),1999,217
Minnesota,4,Ford Pickup (Full Size),2005,246
Maine,5,Toyota Camry,1996,13
Maryland,5,Ford Pickup (Full Size),2004,287
North Dakota,8,Chevrolet Pickup (Small Size),1999,18
Florida,1,Ford Pickup (Full Size),2006,"2,070"
New York,5,Dodge Caravan,2000,368
Wyoming,3,Dodge Pickup (Full Size),2004,13
Illinois,5,Chevrolet Malibu,2011,442
Texas,5,GMC Pickup (Full Size),2015,"1,450"
Hawaii,3,Ford Pickup (Full Size),2006,154
Illinois,6,Chevrolet Pickup (Full Size),1999,418
Nevada,3,Chevrolet Pickup (Full Size),2006,377
Delaware,6,Honda CR-V,2001,23
North Carolina,8,Chevrolet Impala,2006,194
Indiana,4,Dodge Pickup (Full Size),2001,263
Washington,8,Jeep Cherokee/Grand Cherokee,1994,362
Georgia,1,Honda Accord,1997,"1,052"
Massachusetts,5,Dodge Caravan,2005,188
New Jersey,2,Honda Civic,1998,753
Pennsylvania,5,Nissan Altima,2015,261
Minnesota,5,Toyota Camry,1999,214
Ohio,5,Chevrolet Impala,2007,441
Louisiana,8,Chevrolet Impala,2008,177
South Carolina,6,Honda Civic,2000,176
Texas,10,Chevrolet Impala,2007,898
Wyoming,5,Dodge Durango,2002,9
North Dakota,10,Ford Taurus,1998,16
Tennessee,8,Nissan Maxima,1997,188
Wyoming,7,Chevrolet Cavalier,2003,6
Iowa,8,Toyota Camry,1997,59
Massachusetts,3,Toyota Camry,2014,260
New Hampshire,3,Chevrolet Pickup (Full Size),2002,19
Virginia,1,Honda Accord,2002,266
Hawaii,1,Honda Civic,2000,250
Massachusetts,7,Nissan Altima,2005,156
Nevada,5,Toyota Camry,2015,254
Kansas,9,Chevrolet Pickup (Small Size),1998,88
New York,1,Honda Accord,1997,724
Alabama,9,Ford Explorer,2002,119
Mississippi,6,Toyota Camry,2014,94
Missouri,8,Ford Taurus,2002,250
New York,2,Honda Civic,1998,707
Pennsylvania,7,Toyota Corolla,2014,210
Alabama,2,Ford Pickup (Full Size),2006,357
Connecticut,2,Honda Civic,1998,532
Georgia,7,Nissan Altima,2014,484
Oregon,8,Subaru Impreza,1999,171
Rhode Island,8,Jeep Cherokee/Grand Cherokee,1999,32
Texas,2,Chevrolet Pickup (Full Size),2004,"6,158"
Alaska,1,Chevrolet Pickup (Full Size),2003,147
Arkansas,2,Ford Pickup (Full Size),2008,252
Idaho,8,Jeep Cherokee/Grand Cherokee,1997,19
Kentucky,7,Ford Explorer,2000,99
South Carolina,3,Chevrolet Pickup (Full Size),2004,455
Nebraska,2,Ford Pickup (Full Size),1999,168
Massachusetts,9,Honda CR-V,1999,107
Tennessee,8,Toyota Camry,2007,188
Virginia,7,Toyota Corolla,2013,140
Arkansas,5,Honda Accord,1997,122
Mississippi,7,Honda Accord,2007,91
West Virginia,9,Chevrolet Cavalier,2002,17
Montana,5,Honda Accord,1994,52
Washington,2,Honda Civic,1998,"3,113"
Arizona,2,Honda Civic,1998,"1,016"
Massachusetts,4,Toyota Corolla,2010,203
Mississippi,9,Chevrolet Malibu,2015,73
Montana,2,Ford Pickup (Full Size),1995,145
North Carolina,7,Jeep Cherokee/Grand Cherokee,1999,203
Iowa,5,Ford Taurus,2003,77
New Mexico,10,Chevrolet Impala,2005,90
Utah,9,Jeep Cherokee/Grand Cherokee,1996,102
Nevada,2,Honda Civic,1998,"1,011"
Pennsylvania,8,Chevrolet Pickup (Full Size),2003,203
Virginia,8,Ford Explorer,2002,119
South Dakota,6,Chevrolet Malibu,2003,20
Utah,1,Honda Accord,1997,938
Utah,5,Chevrolet Pickup (Full Size),2004,225
Colorado,7,Subaru Legacy,1996,215
Kentucky,8,Ford Taurus,2002,94
Pennsylvania,9,Jeep Cherokee/Grand Cherokee,1999,188
Tennessee,9,Jeep Cherokee/Grand Cherokee,2000,178
Florida,9,Dodge Pickup (Full Size),2005,534
Hawaii,4,Toyota Tacoma,2003,86
New Hampshire,5,Dodge Caravan,2003,16
Alabama,5,Honda Accord,1998,180
Colorado,4,Jeep Cherokee/Grand Cherokee,1999,594
Montana,8,Chevrolet Pickup (Small Size),1995,24
Virginia,5,Nissan Altima,2015,162
Colorado,9,Toyota Camry,1989,203
District Of Columbia,6,Nissan Altima,2015,62
Washington,10,Nissan Sentra,1997,296
West Virginia,4,Dodge Pickup (Full Size),2003,29
Indiana,7,Chevrolet Pickup (Small Size),1998,186
South Dakota,7,Ford Taurus,2006,17
Ohio,6,Honda Accord,1997,437
Oklahoma,6,Honda Accord,1996,269
Rhode Island,3,Toyota Camry,2014,69
Idaho,4,Honda Civic,1996,52
Kansas,5,Dodge Pickup (Full Size),2001,160
Nevada,6,Nissan Maxima,1997,208
South Carolina,1,Ford Pickup (Full Size),2006,586
Montana,7,Ford Explorer,1996,27
New Mexico,2,Ford Pickup (Full Size),2006,557
North Dakota,7,Jeep Cherokee/Grand Cherokee,1999,21
Michigan,5,Dodge Charger,2015,477
Ohio,9,Toyota Camry,2014,308
Delaware,5,Chevrolet Impala,2007,28
South Carolina,4,Ford Crown Victoria,2003,210
Illinois,9,Jeep Cherokee/Grand Cherokee,2000,374
Iowa,7,GMC Pickup (Full Size),2007,60
Maryland,6,Nissan Altima,2013,230
Arizona,10,Nissan Sentra,2014,200
Nevada,1,Honda Accord,1996,"1,048"
Tennessee,4,Nissan Altima,2005,215
Alaska,6,Dodge Pickup (Full Size),1998,44
